folder	url	phish_prediction	target_prediction	has_logo	brand_inside_targetlist	found_knowledge	knowledge_discovery_branch	runtime_breakdown(PhishIntention|Knowledge_discovery|Web_interaction)
com-opticflaim-eppan-time.contedi.de	https://com-opticflaim-eppan-time.contedi.de/login	0	None	True	False	False	success_logo2brand	15.905197858810425|35.31706523895264|0|0
com.borderless.it	https://com.borderless.it/	0	None	True	False	False	None	0|0|0|0
com.br.dsshopwebmasedapqq.linkqq.asia	https://com.br.dsshopwebmasedapqq.linkqq.asia/	0	None	True	False	False	None	0|0|0|0
comautodiscover.admedgineer.comtest.portbet.org	https://comautodiscover.admedgineer.comtest.portbet.org/cgi-sys/defaultwebpage.cgi	0	None	False	False	False	None	0|0|0|0
comforforyou.vlt.tbp.mybluehost.me	https://comforforyou.vlt.tbp.mybluehost.me/	0	None	True	False	False	failure_doesnt_pass_validation	0|51.17418146133423|0|0
communitychurchofhokah.com	https://communitychurchofhokah.com/index.html	0	None	False	False	False	None	0|0|0|0
communityportal.sabre.com	https://communityportal.sabre.com/community/login?goto=https%3A%2F%2Fet.reaccom.manager.prod.sabre.com%2F	0	None	False	False	False	None	0|0|0|0
compassionate-swanson.161-97-107-127.plesk.page	https://compassionate-swanson.161-97-107-127.plesk.page/login_up.php?success_redirect_url=%2F	0	None	False	False	False	None	0|0|0|0
completemechanicalservices.ca	https://completemechanicalservices.ca/	0	None	True	False	False	failure_doesnt_pass_validation	0|51.34295606613159|0|0
complygate.portal.mg-l.de	https://complygate.portal.mg-l.de/comply/	0	None	True	False	False	failure_doesnt_pass_validation	0|41.41209602355957|0|0
componentesjt.com.laagujamagica.com.co	https://componentesjt.com.laagujamagica.com.co/	0	None	True	False	False	failure_no_result_from_gsearch	0|0.4592869281768799|0|0
compositeworld.ru	https://compositeworld.ru/articles/all/date/page_1	0	None	True	False	False	failure_doesnt_pass_validation	0|59.463125705718994|0|0
comprarencolombia.co	https://comprarencolombia.co/	0	None	True	False	False	failure_doesnt_pass_validation	0|54.80103302001953|0|0
compstacks.com.alltypeofhelp.com	https://compstacks.com.alltypeofhelp.com/	0	None	True	False	False	failure_doesnt_pass_validation	0|32.1922492980957|0|0
conalupadek.xyz	https://conalupadek.xyz/	0	None	True	False	False	None	0|0|0|0
concare.cc	https://concare.cc/	0	None	False	False	False	None	0|0|0|0
condescending-panini.63-250-60-57.plesk.page	https://condescending-panini.63-250-60-57.plesk.page/login_up.php?success_redirect_url=%2F	0	None	False	False	False	None	0|0|0|0
confluence.blog.store.test2.jojobet.info	https://confluence.blog.store.test2.jojobet.info/login_up.php	0	None	False	False	False	None	0|0|0|0
confortablepisenplecentredevic.ashotel.top	https://confortablepisenplecentredevic.ashotel.top/	0	None	True	False	False	failure_no_result_from_gsearch	0|0.5237371921539307|0|0
conqueronlinebusinesstech.com	https://conqueronlinebusinesstech.com/	0	None	True	False	False	success_logo2brand	21.27196168899536|28.660069227218628|0|0
consequuntur-sed-vel-dolor-sitblog.sport.blog	https://consequuntur-sed-vel-dolor-sitblog.sport.blog/	0	None	True	False	False	failure_doesnt_pass_validation	0|137.2725751399994|0|0
construction.rootscripts.xyz	https://construction.rootscripts.xyz/	0	None	False	False	False	None	0|0|0|0
consume-message-dev.musea2.azure.ext.gm.com	https://consume-message-dev.musea2.azure.ext.gm.com/	0	None	True	False	False	None	0|0|0|0
contactforms.thevoicemate.com	https://contactforms.thevoicemate.com/login/?next=/	0	None	False	False	False	None	0|0|0|0
conventioncollective.cc	https://conventioncollective.cc/	0	None	True	False	False	failure_doesnt_pass_validation	0|71.64041495323181|0|0
cookingwithmeonline.com	https://cookingwithmeonline.com/	0	None	True	False	False	None	0|0|0|0
cool-snyder.45-120-178-80.plesk.page	https://cool-snyder.45-120-178-80.plesk.page/login_up.php	0	None	False	False	False	None	0|0|0|0
cooltable.xyz	https://cooltable.xyz/	0	None	False	False	False	None	0|0|0|0
coosh.club	https://coosh.club/	0	None	True	False	False	failure_doesnt_pass_validation	0|20.799309015274048|0|0
copyright-security.com	https://copyright-security.com/	0	None	False	False	False	None	0|0|0|0
coralcliffhotel.ashotel.top	https://coralcliffhotel.ashotel.top/	0	None	True	False	False	failure_doesnt_pass_validation	0|48.34713101387024|0|0
coralhouse.hottels.top	https://coralhouse.hottels.top/	0	None	True	False	False	failure_doesnt_pass_validation	0|36.49090337753296|0|0
cordonbleu.info	https://cordonbleu.info/	0	None	False	False	False	None	0|0|0|0
cornerstonesupportservicesvic.com.au	https://cornerstonesupportservicesvic.com.au/	0	None	True	False	False	success_logo2brand	11.546020030975342|52.51258826255798|0|0
correlationsonline.finance.blog	https://correlationsonline.finance.blog/	0	None	False	False	False	None	0|0|0|0
correo.tokosolusi.online	https://correo.tokosolusi.online/	0	None	False	False	False	None	0|0|0|0
corrusest.xyz	https://corrusest.xyz/	0	None	True	False	False	None	0|0|0|0
coseerobe.xyz	https://coseerobe.xyz/	0	None	False	False	False	None	0|0|0|0
cosm.immigration2ca.info	https://cosm.immigration2ca.info/	0	None	False	False	False	None	0|0|0|0
cozy2bedroomgetawayneardowntow.hotelrent.top	https://cozy2bedroomgetawayneardowntow.hotelrent.top/	0	None	True	False	False	failure_doesnt_pass_validation	0|38.060632944107056|0|0
cozycondobedroominbacolodcity.renhotel.top	https://cozycondobedroominbacolodcity.renhotel.top/	0	None	True	False	False	failure_doesnt_pass_validation	0|38.271013259887695|0|0
cozylargehome19minfromhartsfie.renhotel.top	https://cozylargehome19minfromhartsfie.renhotel.top/	0	None	False	False	False	None	0|0|0|0
cp.us-today.info	https://cp.us-today.info/login.php	0	None	True	False	False	failure_doesnt_pass_validation	0|44.819467544555664|0|0
cpanel.arigatou81.mixh.jp	https://cpanel.arigatou81.mixh.jp/	0	None	True	False	False	None	0|0|0|0
cpanel.bereanbaptistonline.org	https://cpanel.bereanbaptistonline.org/	0	None	True	False	False	None	0|0|0|0
cpanel.billclarkson.com	https://cpanel.billclarkson.com/	0	None	True	False	False	None	0|0|0|0
cpanel.bsafer.io	https://cpanel.bsafer.io/	0	None	True	False	False	None	0|0|0|0
cpanel.c5c9ka8u.c5.suncomet.fi	https://cpanel.c5c9ka8u.c5.suncomet.fi/	0	None	True	False	False	None	0|0|0|0
cpanel.c5gq4c7j.c5.suncomet.fi	https://cpanel.c5gq4c7j.c5.suncomet.fi/	0	None	True	False	False	None	0|0|0|0
cpanel.c5k26qf9.c5.suncomet.fi	https://cpanel.c5k26qf9.c5.suncomet.fi/	0	None	True	False	False	None	0|0|0|0
cpanel.c5p3i3cb.c5.suncomet.fi	https://cpanel.c5p3i3cb.c5.suncomet.fi/	0	None	True	False	False	None	0|0|0|0
cpanel.c5sr2drx.c5.suncomet.fi	https://cpanel.c5sr2drx.c5.suncomet.fi/	0	None	True	False	False	None	0|0|0|0
cpanel.c5vj3bcs.c5.suncomet.fi	https://cpanel.c5vj3bcs.c5.suncomet.fi/	0	None	True	False	False	None	0|0|0|0
cpanel.c5x8dxsa.c5.suncomet.fi	https://cpanel.c5x8dxsa.c5.suncomet.fi/	0	None	True	False	False	None	0|0|0|0
cpanel.cju.sej.mybluehost.me	https://cpanel.cju.sej.mybluehost.me/	0	None	True	False	False	None	0|0|0|0
cpanel.cuisine-art-politique-et-compagnie.fr	https://cpanel.cuisine-art-politique-et-compagnie.fr/	0	None	True	False	False	None	0|0|0|0
cpanel.cursospremium.club	https://cpanel.cursospremium.club/	0	None	True	False	False	None	0|0|0|0
