folder	url	phish_prediction	target_prediction	has_logo	brand_inside_targetlist	found_knowledge	knowledge_discovery_branch	runtime_breakdown(PhishIntention|Knowledge_discovery|Web_interaction)
vs5731.mymanaged.host	https://vs5731.mymanaged.host/login_up.php	0	None	False	False	False	None	0|0|0|0
gewerbeimmobilien-makler.com	https://gewerbeimmobilien-makler.com/	0	None	True	False	False	success_logo2brand	14.116733074188232|51.365288734436035|0|0
sites.google.com	https://sites.google.com/brc.pshs.edu.ph/page/home	0	None	False	False	False	None	0|0|0|0
credentials.acaciaconsultoria.com.br	https://credentials.acaciaconsultoria.com.br/	0	None	True	False	False	failure_doesnt_pass_validation	0|74.63988733291626|0|0
www.ebuysecurity.com	https://www.ebuysecurity.com/	0	None	False	False	False	None	0|0|0|0
formdirectmfg.com	https://formdirectmfg.com/	0	None	True	False	False	failure_doesnt_pass_validation	0|29.74172806739807|0|0
petportal.netfy.blog	https://petportal.netfy.blog/	0	None	True	False	False	failure_doesnt_pass_validation	0|68.79952216148376|0|0
formdirectmfg.com	https://formdirectmfg.com/	0	None	True	False	False	failure_doesnt_pass_validation	0|27.12039279937744|0|0
nav.update.se	https://nav.update.se/	0	None	True	False	False	None	0|0|0|0
www.b7jlccvtevvyscf.ninja.hpam.ru	https://www.b7jlccvtevvyscf.ninja.hpam.ru/	0	None	False	False	False	None	0|0|0|0
informes.jursoc.unlp.edu.ar	https://informes.jursoc.unlp.edu.ar/	0	None	False	False	False	None	0|0|0|0
cbrewards.online	https://cbrewards.online/	0	None	True	False	False	failure_doesnt_pass_validation	0|8.43981146812439|0|0
wd886.cc	https://wd886.cc/	0	None	True	False	False	failure_doesnt_pass_validation	0|44.76487636566162|0|0
longbeach.furballfitnessdogcamp.com	https://longbeach.furballfitnessdogcamp.com/	0	None	True	False	False	success_logo2brand	11.548174142837524|26.812859773635864|0|0
nclassic.ndmlive.com	https://nclassic.ndmlive.com/	0	None	True	True	False	None	39.712482213974|0|0|0
www.jockeycreekmanagement.com	https://www.jockeycreekmanagement.com/	0	None	False	False	False	None	0|0|0|0
cpanel.gurakana.club	https://cpanel.gurakana.club/	0	None	True	False	False	None	0|0|0|0
www.ginabpropertymanagement.co.uk	https://www.ginabpropertymanagement.co.uk/	0	None	False	False	False	None	0|0|0|0
www.baltrunas.info	https://www.baltrunas.info/	0	None	False	False	False	None	0|0|0|0
murahmart.kitamitra.online	https://murahmart.kitamitra.online/admin/login	0	None	True	False	False	failure_doesnt_pass_validation	0|23.12037420272827|0|0
www.danceschoolsafeguardingservices.com	https://www.danceschoolsafeguardingservices.com/	0	None	False	False	False	None	0|0|0|0
www.jibunwosiru-jibunwoaisuru.mixmaxz.mixh.jp	https://www.jibunwosiru-jibunwoaisuru.mixmaxz.mixh.jp/	0	None	True	False	False	failure_doesnt_pass_validation	0|62.209959268569946|0|0
popshoplive.com	https://popshoplive.com/	0	None	True	False	False	failure_doesnt_pass_validation	0|33.20786762237549|0|0
en.nolio.klimat.app	https://en.nolio.klimat.app/	0	None	True	False	False	failure_doesnt_pass_validation	0|50.08532404899597|0|0
www.barton-family.meganhochbaum.com	https://www.barton-family.meganhochbaum.com/	0	None	False	False	False	None	0|0|0|0
